E(X) LP,E(Y) LP,E(Z) LP,E(X) HP,E(Y) HP,E(Z) HP,Var HP X,Var HP Y,Var HP Z,MinMax X,MinMax Y,MinMax Z
309.10,2022.57,170.22,-25.29,-7.07,5.53,89027.25,343240.65,182576.49,1670.97,2342.70,1898.40
308.80,2022.72,170.29,-20.40,-3.33,3.63,89781.57,341498.83,182837.21,1670.97,2342.70,1898.40
308.56,2022.91,170.40,-17.11,-0.99,5.35,90628.76,340131.45,182129.36,1670.97,2342.70,1898.40
308.32,2023.09,170.51,-17.11,-1.79,5.78,90627.48,340511.69,181961.16,1670.97,2342.70,1898.40
308.09,2023.26,170.63,-16.21,-1.92,6.37,90796.99,340560.85,181690.76,1670.97,2342.70,1898.40
307.92,2023.45,170.78,-12.34,-1.40,8.53,91375.15,340332.99,180678.88,1670.97,2342.70,1898.40
307.82,2023.64,170.97,-8.00,-0.86,10.96,91488.29,340136.70,179793.87,1670.97,2342.70,1898.40
307.77,2023.87,171.22,-5.22,1.92,14.25,91283.89,339787.81,179411.96,1670.97,2342.70,1898.40
307.76,2024.13,171.47,-2.53,3.38,14.76,91461.30,339837.68,179342.75,1670.97,2342.70,1898.40
307.79,2024.35,171.72,-0.29,0.53,14.42,92293.90,339747.45,179596.02,1670.97,2342.70,1898.40
307.93,2024.52,171.97,6.65,-2.33,14.05,98035.01,339798.20,179988.99,1744.14,2342.70,1898.40
308.25,2024.69,172.18,18.43,-2.06,12.18,111463.80,339858.82,181968.65,2064.71,2342.70,1898.40
308.60,2024.99,172.41,19.53,6.09,13.46,112420.10,348127.84,180833.18,2064.71,2342.70,1898.40
308.93,2025.51,172.56,18.57,19.32,8.34,112074.07,369195.03,183651.37,2064.71,2342.70,1898.40
309.12,2026.25,172.62,10.24,33.51,2.47,114647.98,394608.24,187415.78,2064.71,2456.21,1898.40
309.09,2027.09,172.63,-3.95,39.44,-0.63,117432.16,406156.05,190957.61,2064.71,2456.21,1898.40
308.82,2027.80,172.57,-19.14,31.62,-4.70,121208.75,394693.20,194859.88,2064.71,2456.21,1898.40
308.23,2028.33,172.51,-38.62,19.75,-4.92,132000.27,387069.62,195083.86,2064.71,2456.21,1898.40
307.32,2028.74,172.52,-58.58,13.11,-0.49,147587.27,385345.67,190164.57,2064.71,2456.21,1881.45
306.25,2029.07,172.61,-68.24,7.26,4.61,158068.80,386189.41,184845.06,2064.71,2456.21,1867.86
305.31,2029.31,172.83,-60.62,1.99,12.88,152368.99,386602.10,178349.23,2064.71,2456.21,1867.86
304.65,2029.55,173.04,-43.01,2.31,11.91,148135.63,386785.62,178673.04,2064.71,2456.21,1867.86
304.22,2029.94,173.28,-28.85,11.38,13.52,149905.74,395973.36,177943.92,2064.71,2456.21,1867.86
303.82,2030.16,173.41,-26.64,1.27,7.03,150989.42,391230.68,181492.58,2064.71,2456.21,1867.86
303.33,2030.20,173.62,-32.97,-10.81,12.38,146014.65,387754.32,180677.05,2064.71,2456.21,1867.86
302.77,2030.08,173.97,-36.35,-20.08,20.11,143710.40,387852.80,179008.00,2064.71,2456.21,1867.86
302.17,2029.81,174.37,-39.31,-29.75,23.81,143167.37,392326.99,179891.93,2064.71,2456.21,1867.86
301.44,2029.37,174.78,-47.32,-39.92,24.64,143335.80,396766.50,180206.46,2064.71,2456.21,1867.86
300.62,2028.88,175.22,-53.37,-43.60,26.24,141861.95,398328.74,180856.31,2064.71,2456.21,1867.86
299.71,2028.32,175.72,-58.29,-47.51,30.25,142068.56,401544.17,183259.50,2064.71,2456.21,1867.86
298.69,2027.77,176.28,-65.24,-47.09,33.77,144457.59,401026.82,184396.56,2064.71,2456.21,1867.86
297.52,2027.27,176.80,-74.99,-44.22,31.03,148983.86,397146.32,183345.89,2064.71,2456.21,1867.86
296.24,2026.82,177.29,-81.89,-41.07,29.51,151784.35,392392.30,182762.17,2064.71,2456.21,1867.86
294.92,2026.49,177.76,-84.10,-33.13,28.53,152402.33,380767.53,182355.98,2064.71,2430.48,1867.86
