E(X) LP,E(Y) LP,E(Z) LP,E(X) HP,E(Y) HP,E(Z) HP,Var HP X,Var HP Y,Var HP Z,MinMax X,MinMax Y,MinMax Z
492.92,1901.69,528.08,58.56,84.84,19.72,335758.91,993218.23,373423.92,2699.88,6037.98,3012.89
493.81,1902.60,528.52,52.34,44.72,24.16,332035.02,951464.93,374268.06,2699.88,6037.98,3012.89
494.61,1902.95,529.23,46.51,9.29,40.83,327433.51,920837.90,369190.91,2699.88,6037.98,3012.89
495.37,1902.55,529.86,44.42,-36.89,35.70,326468.29,820623.05,362790.26,2699.88,6037.98,3012.89
495.75,1901.93,530.59,20.46,-50.37,42.10,286564.04,810835.73,365143.08,2470.15,6037.98,3012.89
495.84,1901.48,531.40,2.01,-40.34,47.30,270675.78,804532.85,364189.45,2470.15,6037.98,3012.89
495.70,1901.23,532.30,-11.81,-27.37,52.85,271924.86,801450.71,359842.12,2470.15,6037.98,3012.89
495.32,1901.10,533.27,-26.91,-20.44,56.90,268282.90,807616.45,357743.75,2470.15,6037.98,3012.89
494.90,1900.75,534.25,-29.02,-33.39,57.72,267882.78,800579.07,357402.23,2470.15,6037.98,3012.89
494.46,1899.90,535.01,-30.34,-65.46,43.62,267772.39,796619.19,358594.35,2470.15,6037.98,3012.89
493.90,1898.77,535.50,-38.12,-81.87,27.37,269149.87,809007.56,362742.51,2470.15,6037.98,3012.89
493.10,1897.63,536.01,-53.22,-83.41,28.10,267109.97,810146.42,362283.54,2470.15,6037.98,3012.89
492.15,1896.48,536.61,-62.03,-83.80,34.06,261037.97,810412.50,358185.18,2470.15,6037.98,3012.89
491.11,1895.32,537.34,-67.77,-84.28,41.90,259770.72,810777.19,352026.48,2470.15,6037.98,3012.89
489.95,1894.49,538.11,-75.90,-63.17,44.98,264188.88,812979.48,348630.17,2470.15,6037.98,3012.89
488.77,1894.53,538.86,-76.30,-9.78,43.29,264281.16,930390.23,350413.05,2470.15,6037.98,3012.89
487.64,1895.60,539.31,-73.31,54.87,24.36,264071.63,1134058.83,383842.55,2470.15,6037.98,3149.02
487.13,1897.93,539.90,-34.77,132.78,33.60,293997.51,1503774.85,385903.12,2635.46,7153.67,3149.02
487.11,1899.79,540.12,-4.58,103.88,10.39,289042.94,1540593.00,414308.16,2417.19,7153.67,3149.02
487.37,1901.08,539.95,12.93,68.50,-14.15,284217.67,1604648.43,420911.25,2417.19,7153.67,3149.02
487.91,1902.15,539.60,30.59,54.69,-25.16,275324.93,1617751.42,416489.15,2417.19,7153.67,3149.02
488.74,1903.76,538.90,49.04,87.89,-47.12,283784.86,1670766.25,409603.64,2417.19,7153.67,3149.02
489.58,1906.01,537.87,49.01,128.43,-67.90,283809.65,1759729.15,404693.82,2417.19,7153.67,3149.02
490.27,1908.52,536.59,40.02,143.97,-83.13,291208.99,1762841.97,389014.43,2417.19,7153.67,3149.02
491.01,1911.03,534.94,42.76,144.61,-105.60,291780.99,1762428.28,376282.46,2417.19,7153.67,3149.02
491.70,1913.42,532.97,39.77,136.54,-126.62,290379.07,1767442.56,367907.98,2417.19,7153.67,3149.02
492.24,1915.68,530.71,30.57,128.91,-144.04,286943.28,1768335.67,367427.23,2417.19,7153.67,3149.02
492.64,1917.91,528.15,21.74,126.64,-162.71,287615.80,1768133.65,363815.02,2417.19,7153.67,3149.02
492.93,1920.07,525.34,15.02,122.63,-178.11,291647.74,1768600.22,361710.79,2417.19,7153.67,3149.02
493.16,1922.08,522.39,11.15,113.01,-187.17,293767.40,1771137.19,363273.00,2417.19,7153.67,3149.02
493.37,1924.07,519.38,10.36,111.53,-191.23,294053.24,1771861.94,364229.30,2417.19,7153.67,3149.02
493.70,1926.19,516.38,17.36,119.92,-189.93,290908.56,1763402.63,363531.55,2417.19,7153.67,3149.02
494.23,1928.57,513.51,29.38,136.27,-182.21,285569.13,1737543.01,357620.80,2417.19,7153.67,3149.02
495.01,1931.21,510.84,45.60,152.38,-169.22,275791.63,1711067.71,344626.90,2417.19,7153.67,3149.02
496.00,1933.99,508.26,58.84,160.91,-164.20,268271.61,1701378.72,342097.16,2417.19,7153.67,3149.02
496.98,1936.61,505.67,57.94,151.07,-164.68,267971.68,1701548.79,342249.34,2417.19,7153.67,3149.02
497.97,1938.88,503.05,58.48,128.64,-166.41,268223.30,1692427.62,343163.18,2417.19,7153.67,3149.02
499.20,1940.12,500.33,73.56,65.21,-172.50,260601.03,1504145.01,347187.84,2417.19,7153.67,3149.02
500.16,1940.33,496.98,56.34,0.86,-211.61,233524.81,1278697.71,297541.40,2417.19,6910.91,2755.09
